etudiant.e,groupe,points
1,A,15
2,A,17
3,A,14
4,A,11
5,A,14
6,A,16
7,A,16
8,A,15
9,A,15
10,A,11
11,A,11
12,A,17
13,A,15
14,A,10
15,A,16
16,A,15
17,A,16
18,A,15
19,A,11
20,A,16
21,A,15
22,A,13
23,A,13
24,B,15
25,B,15
26,B,18
27,B,9
28,B,15
29,B,17
30,B,16
31,B,13
32,B,18
33,B,14
34,B,20
35,B,13
36,B,16
37,B,17
38,B,17
39,B,12
40,B,18
41,B,17
42,B,13
43,B,20
44,B,17
45,B,14
46,C,14
47,C,14
48,C,16
49,C,12
50,C,13
51,C,16
52,C,16
53,C,17
54,C,9
55,C,16
56,C,18
57,C,10
58,C,18
59,C,11
60,C,14
61,C,12
62,C,13
63,C,15
64,C,14
65,C,19
66,C,13
67,C,14
68,D,12
69,D,19
70,D,16
71,D,18
72,D,14
73,D,11
74,D,12
75,D,12
76,D,13
77,D,12
78,D,17
79,D,16
80,D,11
81,D,17
